策略-参数1,策略-参数2,策略-参数3,标的,开始时间,结束时间,保证金,使用金额,起始金额,结束金额,最大回撤,盈亏比,胜率,收益率
EMA,10,30,DCE.c2301,2022-01-15,2023-01-15,1430.5,54306.13251842302,10000000.0,10026820.0,94.90760663827862,4.765676567656765,0.4285714285714285,49.38668757327081
EMA,20,40,DCE.c2301,2022-01-15,2023-01-15,1430.5,66715.52500139405,10000000.0,10016140.0,116.5947658185845,3.8297872340425534,0.5,24.19227008955224
EMA,20,60,DCE.c2301,2022-01-15,2023-01-15,1430.5,63801.47111560929,10000000.0,10017716.0,111.50204668928572,2.095744680851064,0.6666666666666666,27.76738481139145
VWMA,5,15,DCE.c2301,2022-01-15,2023-01-15,1430.5,94237.40048823704,10000000.0,9995012.0,164.69311514896376,1.082146768893757,0.4583333333333333,-5.293015272235374
VWMA,10,30,DCE.c2301,2022-01-15,2023-01-15,1430.5,52730.8828638176,10000000.0,10013944.0,92.1546362527396,3.641509433962264,0.3333333333333333,26.44370669084316
VWMA,20,40,DCE.c2301,2022-01-15,2023-01-15,1430.5,43428.40859478135,10000000.0,10028740.0,75.89725374830715,inf,1.0,66.17787971041055
VWMA,20,60,DCE.c2301,2022-01-15,2023-01-15,1430.5,51738.77620686259,10000000.0,10004440.0,90.42079029511112,inf,1.0,8.581571358100817
MA+kσ,5,15,DCE.c2301,2022-01-15,2023-01-15,1430.5,98878.3319821662,10000000.0,9987452.0,172.8037958444009,1.3975352112676056,0.3571428571428571,-12.690343524669462
MA+kσ,10,30,DCE.c2301,2022-01-15,2023-01-15,1430.5,45986.14036577601,10000000.0,10009520.0,80.36724985280674,2.0434782608695654,0.4285714285714285,20.701889578637072
MA+kσ,20,40,DCE.c2301,2022-01-15,2023-01-15,1430.5,41914.44381622398,10000000.0,10010840.0,73.2513873055295,inf,1.0,25.862206468797567
MA+kσ,20,60,DCE.c2301,2022-01-15,2023-01-15,1430.5,69684.93825900114,10000000.0,9995340.0,121.78423323838015,1.5714285714285714,0.5,-6.68724134142154
MA,5,15,SHFE.au2502,2024-01-15,2025-01-15,34275.0,1584446.965295243,10000000.0,10084500.00000001,115.56870644020738,2.8086581345743724,0.2666666666666666,5.333091094296345
MA,10,30,SHFE.au2502,2024-01-15,2025-01-15,34275.0,1859309.7513029915,10000000.0,9375300.000000134,135.61704969387247,1.2409028097650905,0.1428571428571428,-33.59848995370892
MA,20,40,SHFE.au2502,2024-01-15,2025-01-15,34275.0,978296.5312229876,10000000.0,10196900.000000097,71.35642094988968,4.237953599048186,0.2,20.126821849602848
MA,20,60,SHFE.au2502,2024-01-15,2025-01-15,34275.0,981320.993687252,10000000.0,10307500.000000078,71.57702360957344,0.0,0.0,31.3353125000074
EMA,5,15,SHFE.au2502,2024-01-15,2025-01-15,34275.0,2495197.654433449,10000000.0,9623299.99999997,181.99837012643684,4.985124581628879,0.125,-15.09700040518682
EMA,10,30,SHFE.au2502,2024-01-15,2025-01-15,34275.0,1705580.483086486,10000000.0,10454900.000000143,124.4041198458414,5.113187954309453,0.25,26.6712714240807
EMA,20,40,SHFE.au2502,2024-01-15,2025-01-15,34275.0,786878.420691962,10000000.0,11473900.000000084,57.39448728606579,inf,0.0,187.30974966932905
EMA,20,60,SHFE.au2502,2024-01-15,2025-01-15,34275.0,790512.4563222437,10000000.0,11420900.000000084,57.65955188346052,inf,0.0,179.74416324957562
VWMA,5,15,SHFE.au2502,2024-01-15,2025-01-15,34275.0,2809577.012216024,10000000.0,9409299.999999998,204.9290307962089,1.9423076923077,0.2352941176470588,-21.02451712238681
VWMA,10,30,SHFE.au2502,2024-01-15,2025-01-15,34275.0,2157712.5628537424,10000000.0,9095700.000000073,157.38238970486816,1.1411012782694268,0.1538461538461538,-41.91012350615971
VWMA,20,40,SHFE.au2502,2024-01-15,2025-01-15,34275.0,980812.3598305676,10000000.0,10101900.000000088,71.53992413060304,3.663992449268538,0.2,10.389347052854276
VWMA,20,60,SHFE.au2502,2024-01-15,2025-01-15,34275.0,978160.3825163944,10000000.0,10110700.00000012,71.34649033671731,2.2167070217917706,0.3333333333333333,11.31716250001218
MA+kσ,5,15,SHFE.au2502,2024-01-15,2025-01-15,34275.0,1297119.463260887,10000000.0,10219700.000000052,94.611193527417,2.348481489691881,0.3333333333333333,16.937530136795452
MA+kσ,10,30,SHFE.au2502,2024-01-15,2025-01-15,34275.0,1496951.795606096,10000000.0,9419500.000000171,109.18685598877434,2.026197122611133,0.125,-38.778803813438095
MA+kσ,20,40,SHFE.au2502,2024-01-15,2025-01-15,34275.0,1246955.674622524,10000000.0,10149500.000000102,90.95227386014034,1.987138263665592,0.3333333333333333,11.98919921875802
MA+kσ,20,60,SHFE.au2502,2024-01-15,2025-01-15,34275.0,1131800.4373046858,10000000.0,10221300.00000008,82.55291300544755,0.0,0.0,19.552916990127045
MA,5,15,DCE.c1801,2017-01-15,2018-01-15,1204.5,33773.08200571471,10000000.0,10004428.0,70.09772105793837,1.199248120300752,0.2666666666666666,13.111033216485076
MA,10,30,DCE.c1801,2017-01-15,2018-01-15,1204.5,34972.10786504636,10000000.0,10016868.0,72.58635920516056,0.5707964601769911,0.4,48.23272324645633
MA,20,40,DCE.c1801,2017-01-15,2018-01-15,1204.5,32325.36765808188,10000000.0,10014268.0,67.09291751366102,0.0,0.0,44.13870911204552
MA,20,60,DCE.c1801,2017-01-15,2018-01-15,1204.5,24090.0,10000000.0,10013316.0,38.53881278538813,0.0,0.0,55.27604815276048
EMA,5,15,DCE.c1801,2017-01-15,2018-01-15,1204.5,46216.88260007958,10000000.0,10003728.0,95.92545163984968,0.9242424242424244,0.2,8.06631644167532
EMA,10,30,DCE.c1801,2017-01-15,2018-01-15,1204.5,63188.4757778842,10000000.0,10000572.0,131.15084221229597,0.0,0.0,0.905228355263158
EMA,20,40,DCE.c1801,2017-01-15,2018-01-15,1204.5,39288.97513124654,10000000.0,10008216.0,81.54623314912108,0.0,0.0,20.911718802931595
EMA,20,60,DCE.c1801,2017-01-15,2018-01-15,1204.5,29272.0,10000000.0,10012764.0,60.755500207555,0.0,0.0,43.604810057392726
VWMA,5,15,DCE.c1801,2017-01-15,2018-01-15,1204.5,54247.99999999999,10000000.0,9993328.0,112.59443752594436,0.9294117647058824,0.2,-12.299070933490636
VWMA,10,30,DCE.c1801,2017-01-15,2018-01-15,1204.5,32221.672312788487,10000000.0,10015172.0,66.87769263758507,1.4383561643835616,0.2222222222222222,47.08632082382134
VWMA,20,40,DCE.c1801,2017-01-15,2018-01-15,1204.5,31533.70739790532,10000000.0,10011968.0,65.44978704422026,0.0,0.0,37.95303815369009
VWMA,20,60,DCE.c1801,2017-01-15,2018-01-15,1204.5,24090.0,10000000.0,10012692.0,47.00429301764114,0.0348837209302325,0.25,52.68576172685761
MA+kσ,5,15,DCE.c1801,2017-01-15,2018-01-15,1204.5,40020.84635730705,10000000.0,10001228.0,83.06526848756133,1.0927152317880795,0.2666666666666666,3.068400875474715
MA+kσ,10,30,DCE.c1801,2017-01-15,2018-01-15,1204.5,41859.1674054911,10000000.0,10013220.0,86.88079577727501,1.218045112781955,0.1428571428571428,31.582090183346068
MA+kσ,20,40,DCE.c1801,2017-01-15,2018-01-15,1204.5,24090.0,10000000.0,10020868.0,48.653076114914505,0.9545454545454546,0.4,86.62515566625156
MA+kσ,20,60,DCE.c1801,2017-01-15,2018-01-15,1204.5,36239.31870080842,10000000.0,10004668.0,75.2165186816281,0.0,0.0,12.881036860927152
MA,5,15,SHFE.au1802,2017-01-15,2018-01-15,20998.0,419960.0,10000000.0,10077200.0,30.037702094746816,0.9217171717171538,0.5454545454545454,18.38270311458234
